gravity.x,gravity.y,gravity.z,userAcceleration.x,userAcceleration.y,userAcceleration.z
-0.24787,0.96147,-0.1189,-0.13166,0.11121,-0.66731
-0.26066,0.95427,-0.14638,-0.0174,0.14032,-0.88002
-0.27065,0.94301,-0.19357,-0.03212,0.08056,-0.73792
-0.27776,0.9259,-0.25606,0.12154,-0.20576,0.04898
-0.28704,0.90007,-0.32784,-0.04519,-0.3531,0.45957
-0.29549,0.87131,-0.39179,-0.11388,-0.478,0.86033
-0.29927,0.84903,-0.43542,0.28992,-0.64018,1.11372
-0.28198,0.83854,-0.46619,0.50574,-1.0781,0.58374
-0.26006,0.83452,-0.48573,0.49387,-0.47118,0.55807
-0.23507,0.83862,-0.49138,0.40822,-0.11575,0.54631
-0.20836,0.85602,-0.47309,0.40307,-0.04416,0.36515
-0.19442,0.87916,-0.43505,0.38914,-0.0673,0.32711
-0.19503,0.90533,-0.37728,0.12433,-0.33225,0.03384
-0.21899,0.92715,-0.30404,0.16169,-0.28425,-0.14716
-0.25536,0.93802,-0.23433,-0.31377,0.36523,-0.10712
-0.27624,0.9428,-0.18661,-0.79727,1.84649,-0.30753
-0.28461,0.94556,-0.15781,-0.16646,0.91093,-0.86826
-0.288,0.94839,-0.13273,-0.10415,0.03986,-0.70913
-0.28318,0.95242,-0.11269,-0.16851,-0.31057,-0.48997
-0.27772,0.95547,-0.09975,-0.32547,-0.5545,-0.40579
-0.2761,0.95672,-0.09192,-0.24824,-0.53126,0.00473
-0.27267,0.95627,-0.10576,0.25193,-0.05144,0.96608
-0.27198,0.95389,-0.12696,-0.13541,1.06986,-0.44623
-0.28485,0.95356,-0.09782,-0.09451,1.16242,-0.71114
-0.29825,0.94994,-0.09304,-0.58948,1.85845,-1.05862
-0.30112,0.94468,-0.13001,-0.19183,0.41085,0.76867
-0.29074,0.94524,-0.14829,0.29126,-0.00125,0.62595
-0.27532,0.95124,-0.13903,0.37898,0.10136,0.51686
-0.27211,0.95577,-0.11163,0.13097,0.38699,0.35174
-0.27306,0.95919,-0.07345,-0.10605,0.18966,0.15772
-0.27392,0.96136,-0.02743,-0.23246,-0.15127,0.10598
-0.27656,0.9609,0.0132,-0.23838,-0.41087,0.00649
-0.2842,0.95787,0.04139,-0.1528,-0.4259,-0.22562
-0.29574,0.95333,0.06077,-0.06694,-0.39223,-0.2815
-0.31082,0.94736,0.07682,0.19464,-0.31362,-0.22283
-0.32705,0.94072,0.08986,0.2044,-0.33367,-0.22009
-0.34427,0.93338,0.10139,0.20778,-0.57823,-0.16781
-0.36344,0.92477,0.11272,0.23695,-0.75868,-0.04077
-0.38333,0.91542,0.12276,0.25645,-0.54307,0.00802
-0.40299,0.90505,0.13591,0.37894,0.1374,-0.32707
-0.42195,0.89505,0.14433,0.43726,0.55415,-0.56638
-0.43952,0.88728,0.13985,0.5487,0.4338,-0.56126
-0.45563,0.88049,0.13089,0.42857,0.16884,-0.74334
-0.47315,0.87374,0.11267,0.53576,0.3122,-0.87651
-0.48581,0.87154,0.06632,0.71879,0.50238,-0.5746
-0.48063,0.87675,0.017,0.36082,0.64418,0.42879
-0.46068,0.88692,-0.03376,-0.08334,0.47355,1.15343
-0.43704,0.89643,-0.07352,-0.29726,0.64085,1.29518
-0.41741,0.90243,-0.10669,-0.14171,2.00298,0.50943
-0.40335,0.90381,-0.14293,-0.03306,1.04237,0.02691
-0.38476,0.90419,-0.18546,-0.12358,0.5271,0.06855
-0.3639,0.90501,-0.22028,-0.20952,0.46308,0.46919
-0.33284,0.90941,-0.24937,-0.34645,0.59808,0.73838
-0.30039,0.915,-0.26932,-0.20411,0.46896,0.62944
-0.28804,0.91883,-0.26979,-0.06224,0.1568,0.58368
-0.29118,0.92079,-0.25954,0.27094,-0.10087,0.75771
-0.29258,0.91906,-0.26406,0.28818,-0.30809,0.50211
