gravity.x,gravity.y,gravity.z,userAcceleration.x,userAcceleration.y,userAcceleration.z
-0.16773,0.98289,0.07613,0.18583,-0.21177,-0.1001
-0.14953,0.98803,0.03794,0.20481,0.49908,-0.02073
-0.11971,0.9928,-0.00252,0.15444,0.85902,-0.02242
-0.08723,0.99543,-0.03881,-0.01362,0.87675,0.05264
-0.06073,0.99526,-0.07597,-0.17355,0.84257,-0.16618
-0.03841,0.99347,-0.10736,-0.03789,1.08936,-0.32364
-0.01889,0.99125,-0.13066,0.04018,1.14598,-0.34389
-0.00396,0.98794,-0.15479,0.33518,0.96938,-0.14814
0.00982,0.98493,-0.17264,0.34231,0.56161,0.02068
0.03086,0.98361,-0.17763,0.29023,0.37511,0.05849
0.05466,0.98323,-0.17397,0.24707,-0.2063,-0.00294
0.07188,0.98337,-0.16676,0.15426,-0.66837,-0.06203
0.07798,0.98445,-0.15742,0.13833,-0.89764,0.07393
0.06946,0.98614,-0.15065,-0.00327,-1.38348,0.49299
0.04352,0.9884,-0.14549,-0.15933,-1.44891,0.49461
0.01226,0.99142,-0.13011,-0.35848,-1.6002,0.29338
-0.00731,0.99464,-0.10312,-0.17751,-0.86724,0.02104
-0.01352,0.99571,-0.09153,0.08502,-0.55703,-0.20467
0.00039,0.99432,-0.10639,0.15059,-0.43147,-0.21603
0.03104,0.99237,-0.1193,0.03642,0.5051,-0.21902
0.0371,0.99219,-0.11904,0.5052,1.83022,0.42964
0.01895,0.9951,-0.09699,0.28454,0.76378,0.59484
-0.00762,0.99797,-0.06322,-0.11881,-0.08139,0.16803
-0.04719,0.99869,-0.01981,0.08416,0.25183,0.37247
-0.08351,0.99638,0.01592,0.14344,0.63895,0.4345
-0.09391,0.9942,0.05239,0.14848,0.75309,-0.32326
-0.09482,0.98945,0.1095,0.18292,0.47359,0.19806
-0.10577,0.98295,0.15041,0.39996,0.52331,-0.09256
-0.12663,0.97676,0.1729,0.5505,0.31778,-0.45488
-0.14675,0.96825,0.20234,-0.04317,-0.37324,-0.41301
-0.16819,0.9609,0.21994,-0.12019,-0.40719,-0.43759
-0.18591,0.95449,0.23319,0.12631,-0.50909,-0.1361
-0.19392,0.95494,0.22468,0.38834,-0.8486,-0.28271
-0.18702,0.9605,0.20604,0.44956,-0.97216,-0.11763
-0.1678,0.96758,0.18875,0.23593,-0.98267,-0.14646
-0.1479,0.97436,0.16956,-0.03857,-0.98484,-0.1191
-0.12758,0.98136,0.1437,-0.12425,-0.98266,-0.11068
-0.10642,0.98784,0.11335,0.08452,-0.65663,0.65789
-0.08124,0.99395,0.07384,0.19153,-0.03562,-0.03714
-0.0154,0.99977,0.01447,-0.10972,1.7601,0.0518
0.03625,0.999,-0.02598,-0.65734,1.50053,-0.09345
0.04982,0.99623,-0.07104,-0.39408,1.22304,-0.17823
0.0568,0.99159,-0.11631,-0.12029,0.66174,-0.29916
0.07098,0.98533,-0.15516,0.42977,1.15168,-0.38854
0.09366,0.97823,-0.18518,0.79723,0.91415,-0.0013
0.11669,0.97201,-0.20389,0.76619,0.66613,-0.09257
0.13964,0.96732,-0.21163,0.4627,0.06135,-0.01123
0.15621,0.9642,-0.21429,0.21399,-0.17462,0.03785
0.16586,0.96393,-0.20813,-0.03611,-0.82506,0.15959
0.1592,0.96751,-0.19642,-0.07962,-1.61797,0.4945
0.13043,0.9755,-0.17716,-0.42128,-1.58683,0.5766
0.10382,0.98254,-0.1544,-0.21848,-1.39643,0.36628
0.08966,0.98792,-0.1264,-0.06788,-0.7634,-0.0078
0.08703,0.98972,-0.11347,0.20531,-0.33669,-0.01301
0.10393,0.9872,-0.12099,0.18498,-0.38316,0.07767
0.13207,0.98211,-0.13421,-0.46676,-0.56156,-0.04678
0.15614,0.97747,-0.14203,-0.22206,1.1098,0.1428
0.14352,0.9806,-0.1335,0.0036,1.42322,0.47783
0.11897,0.98539,-0.12183,-0.09405,0.02019,0.30734
0.08115,0.99167,-0.10001,0.08695,0.04237,0.24389
0.04289,0.99773,-0.05181,0.52414,0.55602,0.4374
0.01369,0.9999,0.00074,0.17325,0.97742,0.15712
-0.01183,0.99895,0.04428,-0.33126,0.58078,-0.26676
-0.03854,0.99443,0.09803,-0.11476,0.50209,-0.17459
-0.07109,0.98446,0.16053,0.53026,0.60724,-0.09142
-0.10122,0.9745,0.20023,0.88174,0.44871,-0.09517
-0.12615,0.96682,0.22213,0.65925,0.30056,-0.23815
-0.14838,0.95808,0.24508,-0.3643,-0.32092,-0.51515
-0.16676,0.95132,0.25917,0.15625,-0.47294,-0.17131
-0.17137,0.95246,0.25188,0.28501,-0.826,-0.15375
-0.16176,0.96077,0.22527,0.34609,-1.21802,-0.17689
-0.14153,0.97028,0.19625,0.18346,-0.99653,-0.23878
-0.11541,0.97908,0.16756,0.05419,-0.87303,-0.30983
