gravity.x,gravity.y,gravity.z,userAcceleration.x,userAcceleration.y,userAcceleration.z
0.80717,0.39871,-0.43531,0.01244,-0.00051,0.00389
0.8072,0.39873,-0.43524,0.02075,-0.00426,0.01275
0.80709,0.39874,-0.43544,0.01896,-0.00034,0.00749
0.80695,0.39862,-0.4358,0.01705,-0.00334,0.00555
0.8068,0.39847,-0.43623,0.02143,-0.0065,0.00131
0.80659,0.39848,-0.43661,0.01549,-0.00274,0.00505
0.80649,0.39843,-0.43684,0.01224,0.00126,0.00604
0.80649,0.39838,-0.43688,0.00448,0.01959,0.007
0.8063,0.39835,-0.43726,-0.00445,0.02768,0.00429
0.80594,0.39831,-0.43795,-0.00966,0.0304,0.00416
0.80547,0.3983,-0.43882,-0.01449,0.02967,-0.00292
0.80486,0.39844,-0.43982,-0.01102,0.02255,-0.0107
0.8042,0.39868,-0.44081,-0.01023,0.01018,-0.00939
0.80369,0.39903,-0.44142,-0.01079,0.00054,-0.00899
0.80323,0.39945,-0.44189,-0.00713,-0.00515,-0.00546
0.80279,0.3999,-0.44228,0.00329,-0.01007,0.00638
0.80241,0.40034,-0.44256,0.00808,-0.0067,0.00308
0.80211,0.40067,-0.44281,0.01213,0.00246,0.00793
0.80199,0.40087,-0.44285,0.00809,0.00428,0.00771
0.80198,0.401,-0.44274,-0.00453,0.00409,-0.00226
0.802,0.40105,-0.44266,-0.00981,0.00308,-5e-05
0.80213,0.40101,-0.44246,-0.00489,-0.00258,-0.00544
0.80208,0.40108,-0.4425,0.00293,0.00436,-0.00368
0.80184,0.40119,-0.44283,0.00312,0.00465,0.00951
0.80166,0.40149,-0.44288,0.00373,0.00673,0.00635
0.80142,0.40176,-0.44307,0.00263,0.01302,0.00102
0.80113,0.40197,-0.4434,0.00565,0.01362,0.00746
0.80082,0.40219,-0.44377,0.00631,0.01182,0.01127
0.80044,0.40226,-0.44438,0.00267,0.00759,-0.00114
0.80003,0.40226,-0.44512,-0.00291,0.00411,-0.00046
0.79963,0.40231,-0.44579,-0.00572,0.00204,-0.00269
0.79933,0.40236,-0.44628,-0.00885,0.0052,-0.00587
0.79921,0.40237,-0.4465,-0.01076,0.00536,-0.00492
0.79923,0.40231,-0.44652,-0.01285,0.00717,-0.00714
0.79929,0.40222,-0.44648,-0.00663,0.01253,-0.00191
0.79937,0.40213,-0.44643,-0.00448,0.01402,-0.00157
0.7995,0.40195,-0.44635,-0.00356,0.01101,-0.00194
0.79955,0.40176,-0.44644,0.0012,0.01078,0.0024
0.79961,0.40163,-0.44644,0.00591,0.00828,0.0087
0.79964,0.40146,-0.44655,-0.00259,0.01021,0.00753
0.79949,0.40131,-0.44695,0.00225,0.0043,0.00597
0.79934,0.40112,-0.4474,0.00288,0.00441,0.00177
0.7992,0.40082,-0.4479,0.00565,0.00059,5e-05
0.79909,0.40064,-0.44828,0.00479,-0.00803,-0.00148
0.79904,0.4005,-0.44849,0.00069,-0.00685,-0.00627
0.79906,0.40041,-0.44853,-0.00104,-0.0047,-0.00504
0.79919,0.40035,-0.44835,-0.00244,0.00235,-0.00058
0.79942,0.40026,-0.44802,-0.00214,0.00431,-0.0005
0.79971,0.40022,-0.44754,-0.00399,0.00732,0.0004
0.79998,0.40014,-0.44713,-0.00429,0.00849,0.0004
0.8002,0.40006,-0.4468,-0.0057,0.01002,-2e-05
0.80046,0.39998,-0.44642,-0.00752,0.01079,-0.00015
0.80065,0.39991,-0.44613,-0.0015,0.01217,-0.00206
0.80084,0.3998,-0.44589,0.00439,0.0095,0.00084
0.80102,0.3997,-0.44564,0.00769,0.00362,0.00547
0.80114,0.39966,-0.44546,0.00565,0.00218,0.00819
0.80115,0.39962,-0.44549,0.00932,0.0037,0.00686
0.80105,0.39958,-0.44571,0.01063,0.00504,0.0094
0.80091,0.39953,-0.446,0.01208,0.00445,0.0079
0.80081,0.39951,-0.44621,0.00831,0.00514,0.00558
0.8005,0.3996,-0.44667,0.00642,0.00404,0.00454
0.80021,0.39964,-0.44717,-0.00254,0.00753,0.00411
0.8,0.39951,-0.44765,-0.01426,0.02563,-0.00524
0.79959,0.3996,-0.44829,-0.00585,0.04659,-0.02293
0.79964,0.39954,-0.44826,-0.02715,0.00921,0.02308
0.80023,0.39871,-0.44796,-0.03279,-0.00299,-0.02223
0.80054,0.39781,-0.4482,-0.01102,-0.01277,-0.01602
0.801,0.39731,-0.44782,0.0052,0.00873,-0.00912
0.80164,0.39698,-0.44697,0.00389,-0.00366,-0.0035
0.80248,0.39685,-0.44557,-0.00709,-0.00709,-0.00589
0.8034,0.39675,-0.44399,-0.00166,-0.00591,0.00043
0.80427,0.39682,-0.44237,-0.00097,0.00737,0.0121
0.80512,0.39685,-0.44078,0.00373,0.01207,0.00803
0.80586,0.39677,-0.43951,0.01999,0.00857,0.00494
0.8066,0.39684,-0.43808,0.0086,0.00575,0.01029
0.80735,0.39698,-0.43656,0.00481,0.0103,0.0098
0.80801,0.39705,-0.43528,0.00356,0.02173,0.01092
0.8085,0.39699,-0.43443,-0.00036,0.01227,0.01135
0.80884,0.39676,-0.43401,-0.00038,0.00636,0.00731
0.80907,0.39663,-0.43369,0.00463,0.01403,0.0038
0.80917,0.39653,-0.4336,0.00683,0.0154,0.01212
0.80909,0.39639,-0.43388,0.00525,0.00634,0.01023
0.80884,0.39628,-0.43443,0.0084,-0.01115,0.00217
0.80848,0.39618,-0.43521,0.00996,-0.02524,-0.00396
0.80817,0.39608,-0.43586,0.01069,-0.02142,-0.00416
0.80786,0.39608,-0.43645,0.0142,-0.01758,-4e-05
0.80759,0.39613,-0.43689,0.01732,-0.00963,0.00336
0.80744,0.39636,-0.43696,0.01568,-0.00379,0.00319
0.80743,0.39663,-0.43674,0.01387,0.01487,0.00711
0.80744,0.39718,-0.43622,0.00072,-0.02753,-0.0108
0.80744,0.39784,-0.43562,-0.03417,0.01792,0.02603
0.80799,0.39749,-0.43491,-0.03544,0.04039,-0.01388
0.80778,0.39657,-0.43615,0.00324,0.01343,-0.01702
0.80747,0.39661,-0.43668,0.02432,0.00409,0.00371
0.80773,0.39692,-0.43591,-0.01209,0.02929,-0.00036
0.80787,0.39698,-0.43561,-0.0339,0.02197,0.01148
0.80759,0.39665,-0.43643,-0.0116,0.0109,0.00404
0.80729,0.39627,-0.43733,-0.0028,0.01344,-0.00671
0.80695,0.39575,-0.43842,-0.00384,0.01228,-0.00047
0.80677,0.39527,-0.43918,-0.00717,0.00511,0.00422
0.8069,0.39486,-0.43933,-0.00895,-0.00667,-0.00492
0.8071,0.39443,-0.43934,-0.01253,-0.00219,-0.00569
0.80752,0.39384,-0.43909,-0.00979,-0.00326,-0.00616
0.80824,0.39311,-0.43842,0.00055,-0.00283,-0.00486
0.80897,0.39256,-0.43757,0.01158,-0.01374,0.00411
0.80976,0.39201,-0.4366,0.00938,-0.02017,0.00131
0.81049,0.39152,-0.43569,0.01267,-0.01324,-0.00104
0.81111,0.39124,-0.43477,0.01858,-0.00039,0.01118
0.8116,0.39112,-0.43398,0.02021,0.00321,0.01453
0.81203,0.39094,-0.43332,0.01435,0.0119,0.01499
0.81229,0.39085,-0.43293,-0.00122,0.01384,0.01382
0.81239,0.39077,-0.43279,6e-05,0.01094,0.00494
0.81248,0.39067,-0.43273,0.00851,0.01716,0.00942
0.81244,0.39049,-0.43296,0.00321,0.0186,0.00854
0.81245,0.39011,-0.43329,0.00974,0.02472,0.00577
0.81234,0.38968,-0.43388,0.00045,0.01953,0.0051
0.81219,0.38905,-0.43473,-0.00892,0.00775,0.00209
0.81196,0.38829,-0.43583,-0.00056,-0.00157,0.00422
0.81169,0.38778,-0.43678,-0.00924,-0.00334,0.00091
0.81144,0.38717,-0.4378,-0.00771,0.00623,-0.0029
0.81113,0.38639,-0.43906,0.00789,0.02101,0.00916
0.81103,0.38561,-0.43993,-0.01141,0.02447,0.00678
0.81066,0.38443,-0.44164,-0.01403,0.01383,0.01414
0.81044,0.38211,-0.44405,0.00742,-0.01126,0.01285
