gravity.x,gravity.y,gravity.z,userAcceleration.x,userAcceleration.y,userAcceleration.z
0.3675,0.90563,0.2116,0.07696,-0.09023,-0.02584
0.36649,0.90435,0.21867,0.07674,-0.10068,-0.02452
0.36521,0.90332,0.225,0.07768,-0.10738,-0.024
0.36427,0.90269,0.22902,0.0667,-0.10067,-0.04506
0.36201,0.90331,0.23014,0.02236,-0.09351,-0.04322
0.35804,0.90563,0.22721,0.00506,-0.08234,-0.05621
0.35281,0.90956,0.21959,-0.01127,-0.09456,-0.08546
0.34736,0.91459,0.20704,-0.02082,-0.11727,-0.11411
0.34306,0.91969,0.19098,0.02039,-0.14746,-0.04508
0.34104,0.92361,0.175,0.04149,-0.12622,0.03994
0.34139,0.92559,0.1635,0.0146,-0.02025,0.10394
0.34335,0.92616,0.15598,0.0163,0.10959,0.14098
0.34447,0.92679,0.14965,0.00796,0.17877,0.21261
0.34297,0.92805,0.14524,0.01806,0.15087,0.22322
0.34165,0.92915,0.14123,-0.00185,0.13266,0.16891
0.34072,0.93024,0.13618,-0.0675,0.18072,0.06579
0.34161,0.93014,0.1347,-0.01913,-0.11001,-0.03384
0.34674,0.92772,0.1382,0.10808,-0.13594,-0.0346
0.35757,0.92264,0.14445,0.14048,-0.09409,-0.02377
0.37445,0.91499,0.15024,0.15356,-0.02041,-0.00487
0.39391,0.90617,0.15387,0.0391,0.12596,0.00288
0.40965,0.89908,0.15439,-0.02853,0.17072,0.02545
0.41977,0.89498,0.15098,-0.16113,0.07383,-0.01958
0.42699,0.89239,0.14598,-0.14838,-0.02273,-0.04624
0.43235,0.89108,0.13796,-0.10311,-0.02347,-0.03083
0.43565,0.89136,0.12518,-0.12214,0.00382,-0.01013
0.43588,0.8934,0.10881,-0.17018,0.0503,0.0017
0.43245,0.89702,0.09124,-0.16626,0.05418,0.01235
0.42588,0.90175,0.07389,-0.13108,0.02818,0.01795
0.41801,0.90668,0.05648,-0.07122,0.03497,0.01603
0.40948,0.91143,0.04022,-0.0268,0.04612,0.00137
0.401,0.91567,0.02724,0.07265,0.02688,-0.07629
0.39526,0.91838,0.0183,0.10821,-0.01647,-0.07352
0.39255,0.91961,0.01487,0.13394,-0.02723,0.05271
0.39216,0.91979,0.01387,0.10457,-0.03292,0.10576
0.39368,0.91914,0.01391,0.06197,-0.05018,0.05628
0.39645,0.91791,0.01589,0.03881,-0.0566,-0.0331
0.40003,0.91633,0.01777,0.04805,-0.07383,-0.06813
0.4038,0.91465,0.01885,0.04446,-0.05459,-0.0933
0.40718,0.91315,0.01887,0.04166,-0.0418,-0.10002
0.41045,0.91174,0.01603,0.01776,-0.01612,-0.04781
0.41359,0.9104,0.0105,-0.00815,0.03835,-0.02865
0.41612,0.9093,0.00318,-0.02905,0.05676,0.00019
0.41812,0.90837,-0.00565,-0.03398,0.04903,0.0259
0.41998,0.9074,-0.01554,-0.02014,0.00983,0.03081
0.42205,0.90618,-0.02667,-0.01162,-0.02668,0.03755
0.42445,0.9046,-0.03904,-0.0252,-0.04045,0.05226
0.42663,0.90291,-0.05229,-0.02608,0.01851,0.03709
0.42839,0.90115,-0.06637,-0.02272,0.05069,0.02991
0.42916,0.89965,-0.08027,-0.0189,0.04288,0.04216
0.42922,0.89837,-0.09326,0.00316,0.00846,-0.04094
0.42869,0.89716,-0.10643,0.01529,0.0092,-0.04202
0.42749,0.89639,-0.1172,0.03553,0.03292,0.03274
0.42539,0.89659,-0.12313,-0.00646,0.1326,0.44657
0.4231,0.89805,-0.12038,-0.06372,0.11211,0.52222
0.4207,0.90043,-0.11058,-0.02739,0.04853,0.08708
0.41707,0.9032,-0.1014,0.00583,-0.00338,-0.12359
0.41387,0.90524,-0.09615,0.10223,-0.10225,-0.20524
0.41191,0.90608,-0.09664,0.02193,-0.05647,-0.11213
0.4106,0.90621,-0.10088,-0.0183,-0.00628,-0.07405
0.40909,0.90622,-0.1068,-0.01384,0.01564,-0.04841
0.40726,0.90619,-0.11382,0.01358,-0.0027,-0.02238
0.4054,0.90603,-0.12148,0.04896,-0.03289,-0.00135
0.40403,0.90572,-0.12813,0.08042,-0.05132,0.04329
0.40334,0.90553,-0.13167,0.10442,-0.06432,0.08108
0.40356,0.90533,-0.13232,0.07845,-0.04029,0.01097
0.40421,0.90511,-0.13184,0.04484,0.00273,-0.04004
0.40489,0.90485,-0.13159,-0.01805,0.0479,-0.04759
0.40443,0.90494,-0.13233,-0.03608,0.05223,-0.04472
0.40328,0.90536,-0.13293,-0.05474,0.06319,-0.02764
0.40182,0.90599,-0.13312,-0.06932,0.05029,-0.0204
0.3996,0.90696,-0.13322,-0.05304,0.02038,-0.02599
0.39753,0.9079,-0.13298,-0.03966,0.01517,-0.02662
0.39543,0.90876,-0.13334,-0.04323,0.0225,-0.00987
0.39365,0.90949,-0.13367,-0.06494,0.04069,0.02652
0.39218,0.91011,-0.13378,-0.06829,0.04894,0.03542
0.39059,0.91079,-0.13382,-0.0825,0.05543,0.04333
0.3893,0.91142,-0.13327,-0.08867,0.05263,0.05206
0.38784,0.91215,-0.13246,-0.0935,0.05611,0.03814
