gravity.x,gravity.y,gravity.z,userAcceleration.x,userAcceleration.y,userAcceleration.z
-0.11049,0.9887,0.10122,0.08187,0.06022,-0.12964
-0.11636,0.98791,0.10235,0.05908,0.02564,-0.06576
-0.12346,0.98694,0.10339,-0.02159,0.01286,-0.15186
-0.12715,0.98602,0.10764,0.03617,-0.03676,-0.15355
-0.13013,0.98506,0.11274,0.13448,-0.02025,-0.06768
-0.13683,0.98384,0.11546,0.15243,-0.02372,-0.07304
-0.14759,0.98284,0.11058,0.16721,0.00917,-0.14392
-0.15795,0.98212,0.10235,0.09017,0.15809,-0.33079
-0.16282,0.98161,0.09961,0.1338,0.14173,-0.36574
-0.16438,0.98139,0.09916,0.14262,0.14733,-0.38548
-0.16537,0.9814,0.09747,0.14662,0.2654,-0.36914
-0.16519,0.98202,0.09127,0.20431,0.30152,-0.45268
-0.1647,0.98321,0.07845,0.1652,0.15294,-0.35547
-0.16353,0.98508,0.0535,0.08403,-0.15647,-0.19822
-0.16458,0.9863,0.01007,0.0269,-0.17826,-0.095
-0.17039,0.98387,-0.05435,-0.05926,0.15778,0.16656
-0.17773,0.97506,-0.13288,-0.14678,0.6247,-0.11956
-0.19265,0.95851,-0.21009,-0.19776,0.77378,-0.24453
-0.2065,0.93731,-0.28072,-0.44562,0.58967,0.04357
-0.20372,0.91763,-0.34123,-0.37012,0.31911,0.03116
-0.19254,0.90174,-0.38703,0.10387,0.35312,0.29595
-0.1842,0.87933,-0.43913,0.07774,0.25804,0.36271
-0.18157,0.84641,-0.50062,-0.146,-0.06331,0.25347
-0.18462,0.80409,-0.56511,-0.33383,-0.29524,0.21352
-0.1908,0.75801,-0.6237,-0.18086,-0.0981,0.22075
-0.19671,0.71456,-0.67135,-0.02589,0.05394,0.27419
-0.20404,0.67043,-0.71336,-0.00646,0.03662,0.26169
-0.21694,0.62571,-0.74928,0.12212,0.01908,0.16778
-0.23003,0.58749,-0.77585,0.0595,-0.0946,0.26371
-0.241,0.55798,-0.79409,0.0506,-0.15664,0.25067
-0.24995,0.53783,-0.80514,0.03425,-0.15394,0.22684
-0.25752,0.52836,-0.80903,-0.02569,-0.16553,0.09923
-0.25987,0.53141,-0.80627,0.04333,-0.20949,-0.07873
-0.25861,0.54332,-0.7987,0.0533,-0.15529,-0.12551
-0.25435,0.56067,-0.78801,0.03805,-0.01435,-0.18253
-0.24706,0.57886,-0.7771,0.09526,0.02902,-0.16503
-0.23252,0.60072,-0.7649,0.08046,-0.00785,-0.08181
-0.2116,0.62702,-0.74971,-0.40818,0.73691,-0.49336
-0.20275,0.64502,-0.73677,-0.30222,0.64416,-0.46226
-0.19571,0.67067,-0.71546,0.26447,-0.3286,0.75564
-0.18331,0.70559,-0.6845,-0.46554,-0.2192,0.1269
-0.1833,0.73337,-0.65465,-0.38688,0.22456,0.15601
-0.18794,0.7614,-0.62043,-0.26416,0.58355,0.15696
-0.19039,0.7852,-0.58924,-0.08593,0.10994,0.17762
-0.18792,0.81091,-0.55417,-0.03633,-0.05023,0.25438
-0.18828,0.83713,-0.51358,-0.03891,0.02804,0.2731
-0.1913,0.86132,-0.47067,-0.0496,0.18652,0.20972
-0.19174,0.88349,-0.42741,0.00021,0.18049,0.17503
-0.19116,0.90258,-0.38574,0.03454,0.06557,0.13864
-0.19163,0.91814,-0.34682,0.12579,-0.27852,0.10248
-0.19995,0.92936,-0.31031,0.09172,-0.22764,0.10316
-0.2144,0.9361,-0.27883,0.08615,-0.15933,0.05962
-0.22933,0.94087,-0.24931,0.01735,-0.07437,-0.0372
-0.2424,0.94476,-0.22059,0.04263,-0.06157,-0.03216
-0.25367,0.94649,-0.19952,0.08155,-0.04297,-0.01351
-0.26475,0.94678,-0.18302,0.23516,0.10879,-0.01776
-0.2741,0.94724,-0.16612,0.25556,0.11827,-0.02347
-0.28174,0.94822,-0.14658,0.26901,0.12027,-0.05049
-0.28768,0.94904,-0.12864,0.10391,0.1051,-0.24218
-0.29282,0.94971,-0.11085,-0.05076,0.30044,-0.32737
-0.29857,0.94952,-0.09619,-0.0789,0.36788,-0.3367
-0.30251,0.94879,-0.09097,-0.00617,0.21085,-0.28481
-0.30513,0.9474,-0.09657,-0.02203,0.12713,-0.20865
-0.30702,0.94505,-0.11226,-0.06286,0.21736,-0.06573
-0.30696,0.94129,-0.1405,-0.14531,0.32104,0.13722
-0.30615,0.93471,-0.18047,-0.41867,0.30386,-0.06882
-0.30981,0.92347,-0.2263,-0.51019,0.08094,-0.17389
-0.30828,0.90879,-0.28117,-0.1669,0.20141,0.06863
-0.30012,0.88866,-0.3467,0.05178,0.38677,0.03749
-0.29322,0.86617,-0.40469,0.03267,0.49655,0.11929
-0.28519,0.84397,-0.45429,0.01666,0.40934,0.11771
-0.27194,0.82073,-0.50244,0.00514,0.23876,0.08306
-0.25782,0.79672,-0.54659,-0.10541,-0.02874,0.04591
-0.25059,0.77191,-0.58426,-0.2544,-0.26629,0.25249
-0.24742,0.74641,-0.61778,-0.24474,-0.1579,0.39286
-0.24493,0.71873,-0.65071,-0.07745,-0.19657,0.43088
-0.24361,0.68649,-0.68512,0.04778,-0.19279,0.26941
-0.24481,0.6543,-0.71552,0.06157,-0.13835,0.33502
-0.24865,0.62038,-0.74384,0.03648,-0.13741,0.3944
-0.25432,0.58453,-0.77049,0.02316,-0.19203,0.39782
-0.26328,0.55069,-0.7921,0.03288,-0.20991,0.41127
-0.27497,0.51956,-0.80898,0.03866,-0.13018,0.31833
-0.28693,0.49136,-0.82233,-0.02374,-0.12669,0.17107
-0.29726,0.47021,-0.83098,-0.02653,-0.1224,0.16234
-0.30467,0.45793,-0.83515,-0.03006,-0.07085,0.08527
-0.30579,0.45628,-0.83564,-0.03041,-0.10811,-0.01101
-0.29948,0.46636,-0.83235,-0.03389,-0.18935,-0.0816
-0.2906,0.48695,-0.82367,-0.04504,-0.09721,-0.1729
-0.28176,0.51584,-0.80902,-0.05755,0.06811,-0.40803
-0.2723,0.54414,-0.79358,-0.01872,0.10647,-0.62113
-0.25974,0.56898,-0.78025,-0.28284,0.45879,-0.08472
-0.25892,0.60338,-0.75424,0.01121,0.85673,-0.16507
-0.248,0.63709,-0.7298,0.423,0.63256,0.14749
-0.23874,0.67908,-0.69416,-0.51515,-0.57225,0.28075
-0.23765,0.71582,-0.6566,-0.07935,0.06438,0.2612
-0.23874,0.75359,-0.61246,-0.01349,0.77704,0.06969
-0.24087,0.78275,-0.57383,-0.10415,0.60569,0.07216
-0.24186,0.80814,-0.53704,0.14707,-0.11763,0.15983
-0.24005,0.83287,-0.49869,0.10018,-0.22612,0.14637
