gravity.x,gravity.y,gravity.z,userAcceleration.x,userAcceleration.y,userAcceleration.z
0.11527,0.98887,0.09409,0.00891,0.81152,0.39056
0.13564,0.98919,0.05569,-0.13847,0.7791,0.45951
0.15731,0.98747,0.0123,-0.41179,0.65703,0.08045
0.17626,0.98349,-0.04101,-0.39922,0.41976,0.10861
0.1928,0.97683,-0.09293,-0.13248,-0.01244,0.25087
0.21557,0.96635,-0.14032,-0.12913,-0.18854,0.3382
0.24514,0.95129,-0.18695,-0.18293,-0.39625,0.15951
0.27043,0.93418,-0.23274,-0.30565,-0.37036,0.25097
0.28859,0.91782,-0.27262,-0.31835,-0.29917,0.39884
0.29752,0.90299,-0.30998,-0.27681,-0.33231,0.41643
0.29598,0.88945,-0.34825,-0.18095,-0.37106,0.41472
0.2829,0.87833,-0.38537,-0.20609,-0.43912,0.33045
0.26489,0.87284,-0.40986,-0.37569,-0.53009,0.3319
0.2489,0.87414,-0.41705,-0.46708,-0.63006,0.22829
0.23315,0.88335,-0.40661,-0.35344,-0.66152,0.01925
0.21582,0.90074,-0.37696,-0.11901,-0.50347,-0.27774
0.19984,0.9212,-0.33386,0.11986,-0.15684,-0.6903
0.18896,0.93521,-0.29946,0.35111,0.16561,-0.93011
0.18146,0.93605,-0.30146,0.5663,0.87657,-1.07844
0.15958,0.9383,-0.30679,0.172,0.85025,-0.40951
0.14888,0.93949,-0.30853,0.11872,0.55415,-0.33084
0.15877,0.93656,-0.31249,-0.11823,-0.21915,-0.44982
0.17525,0.93,-0.3231,-0.26355,-0.60325,-0.36934
0.18594,0.92781,-0.32341,-0.24252,-0.61043,0.1187
0.1925,0.93217,-0.3066,-0.34447,0.62774,0.22784
0.15202,0.942,-0.29921,-0.34141,1.27077,0.75083
0.10145,0.94832,-0.30064,-0.61784,1.38409,0.41516
0.10301,0.95377,-0.28235,-0.30839,0.16866,0.52183
0.13684,0.96442,-0.22621,0.13454,-0.54392,0.81463
0.16898,0.97294,-0.15761,0.10907,-0.62446,0.75395
0.18792,0.97841,-0.08601,0.16982,-0.4435,0.56191
0.1905,0.98147,-0.02078,0.34868,-0.17237,0.35065
0.1813,0.98329,0.01631,0.36735,-0.09084,0.2811
